ID,Parameter_ID,Name,Description,Map_Icon
NegexType-c01,NegExType,identical with standard negation,,sffffff
NegexType-c02,NegExType,constructionally different from standard negation,,s005be7
NegexType-c03,NegExType,morphologically different from standard negation,,sfefe00
NegexType-c04,NegExType,completely different from SN: lexical item,,cfe0000
NegexType-c05,NegExType,completely different from SN: negative indefinite pronouns,,dfda87f
NegexType-c06,NegExType,completely different from SN: other solutions,,tf68282
